full_name,school,nickname,url,location
Louisiana-Monroe Warhawks,Louisiana-Monroe,Warhawks,/cbb/schools/louisiana-monroe/men/,"Monroe, Louisiana"
Louisville Cardinals,Louisville,Cardinals,/cbb/schools/louisville/men/,"Louisville, Kentucky"
Loyola (IL) Ramblers,,,/cbb/schools/loyola-il/men/,"Chicago, Illinois"
Loyola (MD) Greyhounds,,,/cbb/schools/loyola-md/men/,"Baltimore, Maryland"
Loyola Marymount Lions,,,/cbb/schools/loyola-marymount/men/,"Los Angeles, California"
Maine Black Bears,,,/cbb/schools/maine/men/,"Orono, Maine"
Manhattan Jaspers,Manhattan,Jaspers,/cbb/schools/manhattan/men/,"Riverdale, New York"
Marist Red Foxes,,,/cbb/schools/marist/men/,"Poughkeepsie, New York"
Marquette Golden Eagles,,,/cbb/schools/marquette/men/,"Milwaukee, Wisconsin"
Marshall Thundering Herd,,,/cbb/schools/marshall/men/,"Huntington, West Virginia"
Maryland Terrapins,Maryland,Terrapins,/cbb/schools/maryland/men/,"College Park, Maryland"
Maryland-Baltimore County Retrievers,,,/cbb/schools/maryland-baltimore-county/men/,"Baltimore, Maryland"
Maryland-Eastern Shore Hawks,,,/cbb/schools/maryland-eastern-shore/men/,"Princess Anne, Maryland"
Massachusetts Minutemen,Massachusetts,Minutemen,/cbb/schools/massachusetts/men/,"Amherst, Massachusetts"
Massachusetts-Lowell River Hawks,,,/cbb/schools/massachusetts-lowell/men/,"Lowell, Massachusetts"
McNeese State Cowboys,,,/cbb/schools/mcneese-state/men/,"Lake Charles, Louisiana"
Memphis Tigers,Memphis,Tigers,/cbb/schools/memphis/men/,"Memphis, Tennessee"
Mercer Bears,Mercer,Bears,/cbb/schools/mercer/men/,"Macon, Georgia"
Merrimack Warriors,Merrimack,Warriors,/cbb/schools/merrimack/men/,"North Andover, Massachusetts"
Miami (FL) Hurricanes,,,/cbb/schools/miami-fl/men/,"Coral Gables, Florida"
Miami (OH) RedHawks,,,/cbb/schools/miami-oh/men/,"Oxford, Ohio"
Michigan State Spartans,,,/cbb/schools/michigan-state/men/,"East Lansing, Michigan"
Michigan Wolverines,Michigan,Wolverines,/cbb/schools/michigan/men/,"Ann Arbor, Michigan"
Middle Tennessee Blue Raiders,,,/cbb/schools/middle-tennessee/men/,"Murfreesboro, Tennessee"
Milwaukee Panthers,Milwaukee,Panthers,/cbb/schools/milwaukee/men/,"Milwaukee, Wisconsin"
Minnesota Golden Gophers,,,/cbb/schools/minnesota/men/,"Minneapolis, Minnesota"
Mississippi Rebels,Mississippi,Rebels,/cbb/schools/mississippi/men/,"University, Mississippi"
Mississippi State Bulldogs,,,/cbb/schools/mississippi-state/men/,"Mississippi State, Mississippi"
Mississippi Valley State Delta Devils,,,/cbb/schools/mississippi-valley-state/men/,"Itta Bena, Mississippi"
Missouri State Bears,,,/cbb/schools/missouri-state/men/,"Springfield, Missouri"
Missouri Tigers,Missouri,Tigers,/cbb/schools/missouri/men/,"Columbia, Missouri"
Monmouth Hawks,Monmouth,Hawks,/cbb/schools/monmouth/men/,"West Long Branch, New Jersey"
Montana Grizzlies,Montana,Grizzlies,/cbb/schools/montana/men/,"Missoula, Montana"
Montana State Bobcats,,,/cbb/schools/montana-state/men/,"Bozeman, Montana"
Morehead State Eagles,,,/cbb/schools/morehead-state/men/,"Morehead, Kentucky"
Morgan State Bears,,,/cbb/schools/morgan-state/men/,"Baltimore, Maryland"
Mount St. Mary's Mountaineers,,,/cbb/schools/mount-st-marys/men/,"Emmitsburg, Maryland"
Murray State Racers,,,/cbb/schools/murray-state/men/,"Murray, Kentucky"
Navy Midshipmen,Navy,Midshipmen,/cbb/schools/navy/men/,"Annapolis, Maryland"
NC State Wolfpack,,,/cbb/schools/north-carolina-state/men/,"Raleigh, North Carolina"
Nebraska Cornhuskers,Nebraska,Cornhuskers,/cbb/schools/nebraska/men/,"Lincoln, Nebraska"
Nevada Wolf Pack,,,/cbb/schools/nevada/men/,"Reno, Nevada"
Nevada-Las Vegas Rebels,,,/cbb/schools/nevada-las-vegas/men/,"Las Vegas, Nevada"
New Hampshire Wildcats,,,/cbb/schools/new-hampshire/men/,"Durham, New Hampshire"
